박쥐문별전,ㅂㅏㄱᴥㅈㅟᴥㅁㅜㄴᴥㅂㅕㄹᴥㅈㅓㄴᴥ
거북등문,ㄱㅓᴥㅂㅜㄱᴥㄷㅡㅇᴥㅁㅜㄴᴥ
거북머리,ㄱㅓᴥㅂㅜㄱᴥㅁㅓᴥㄹㅣᴥ
거북모양물통,ㄱㅓᴥㅂㅜㄱᴥㅁㅗᴥㅇㅑㅇᴥㅁㅜㄹᴥㅌㅗㅇᴥ
거북문,ㄱㅓᴥㅂㅜㄱᴥㅁㅜㄴᴥ
거북받침,ㄱㅓᴥㅂㅜㄱᴥㅂㅏㄷᴥㅊㅣㅁᴥ
거북상,ㄱㅓᴥㅂㅜㄱᴥㅅㅏㅇᴥ
거북이부도비,ㄱㅓᴥㅂㅜㄱᴥㅇㅣᴥㅂㅜᴥㄷㅗᴥㅂㅣᴥ
거북점,ㄱㅓᴥㅂㅜㄱᴥㅈㅓㅁᴥ
거북점통,ㄱㅓᴥㅂㅜㄱᴥㅈㅓㅁᴥㅌㅗㅇᴥ
거북통형자물쇠,ㄱㅓᴥㅂㅜㄱᴥㅌㅗㅇᴥㅎㅕㅇᴥㅈㅏᴥㅁㅜㄹᴥㅅㅚᴥ
거북흉배,ㄱㅓᴥㅂㅜㄱᴥㅎㅠㅇᴥㅂㅐᴥ
거붕,ㄱㅓᴥㅂㅜㅇᴥ
거비파,ㄱㅓᴥㅂㅣᴥㅍㅏᴥ
거석문화,ㄱㅓᴥㅅㅓㄱᴥㅁㅜㄴᴥㅎㅘᴥ
거신광,ㄱㅓᴥㅅㅣㄴᴥㄱㅘㅇᴥ
거연,ㄱㅓᴥㅇㅕㄴᴥ
거창고분,ㄱㅓᴥㅊㅏㅇᴥㄱㅗᴥㅂㅜㄴᴥ
거치문,ㄱㅓᴥㅊㅣᴥㅁㅜㄴᴥ
김명국,ㄱㅣㅁᴥㅁㅕㅇᴥㄱㅜㄱᴥ
거트루드스타인,ㄱㅓᴥㅌㅡᴥㄹㅜᴥㄷㅡᴥㅅㅡᴥㅌㅏᴥㅇㅣㄴᴥ
거푸집,ㄱㅓᴥㅍㅜᴥㅈㅣㅂᴥ
건달바,ㄱㅓㄴᴥㄷㅏㄹᴥㅂㅏᴥ
건륭글라스,ㄱㅓㄴᴥㄹㅠㅇᴥㄱㅡㄹᴥㄹㅏᴥㅅㅡᴥ
건륭제,ㄱㅓㄴᴥㄹㅠㅇᴥㅈㅔᴥ
건성유,ㄱㅓㄴᴥㅅㅓㅇᴥㅇㅠᴥ
건염염료,ㄱㅓㄴᴥㅇㅕㅁᴥㅇㅕㅁᴥㄹㅛᴥ
건요,ㄱㅓㄴᴥㅇㅛᴥ
건잔,ㄱㅓㄴᴥㅈㅏㄴᴥ
건조제,ㄱㅓㄴᴥㅈㅗᴥㅈㅔᴥ
건초더미,ㄱㅓㄴᴥㅊㅗᴥㄷㅓᴥㅁㅣᴥ
건초마차,ㄱㅓㄴᴥㅊㅗᴥㅁㅏᴥㅊㅏᴥ
건칠불,ㄱㅓㄴᴥㅊㅣㄹᴥㅂㅜㄹᴥ
걸수,ㄱㅓㄹᴥㅅㅜᴥ
검은색 문단 저고리,ㄱㅓㅁᴥㅇㅡㄴᴥㅅㅐㄱᴥ ㅁㅜㄴᴥㄷㅏㄴᴥ ㅈㅓᴥㄱㅗᴥㄹㅣᴥ
게레족,ㄱㅔᴥㄹㅔᴥㅈㅗㄱᴥ
게르니카,ㄱㅔᴥㄹㅡᴥㄴㅣᴥㅋㅏᴥ
게르만미술,ㄱㅔᴥㄹㅡᴥㅁㅏㄴᴥㅁㅣᴥㅅㅜㄹᴥ
게르제문화,ㄱㅔᴥㄹㅡᴥㅈㅔᴥㅁㅜㄴᴥㅎㅘᴥ
게르치노,ㄱㅔᴥㄹㅡᴥㅊㅣᴥㄴㅗᴥ
게르하르트,ㄱㅔᴥㄹㅡᴥㅎㅏᴥㄹㅡᴥㅌㅡᴥ
